hashtag,value,category
HabsDC,529,Sport
CMJ2015,103,Sport
Sotchi2014,72,Sport
polmtl,53,Politique
Yesssss,48,Humeur
Fierté,27,Cause
RIP,26,Sport
CarabinsDC,21,Sport
merci,18,Humeur
Bravo,18,Humeur
AlsDC,17,Sport
Montréal,16,Politique
respect,13,Humeur
NHL15Subban,13,Sport
JeSuisCharlie,13,Cause
IMFC,13,Sport
Oscar2014,12,Culture
CoupeDuMondeBresil,12,Sport
wow,11,Humeur
GoCanadaGo,11,Sport
BellCause,11,Cause
neigemtl,10,Politique
GoHabsGo,10,Sport
mtlcomiccon,9,Culture
lapresseplus,9,Politique
GPF1Mtl,9,Sport
FIFA2014U20,9,Sport
Coderre2013,9,Politique
CMM,8,Politique
Solidarité,7,Cause
rigueur,7,Politique
polqc,7,Politique
MTL,6,Politique
IceBucketChallenge,6,Cause
ExposDC,6,Sport
DevoirdeMemoire,6,Cause
ShowduRefuge,5,Culture
RevueEtCorrigee,5,Culture
mtl2013,5,Politique
GenieArmy,5,Sport
CoupeVanier,5,Sport
TourneeCMMHelico,4,Politique
TLMEP,4,Politique
TeamCanada,4,Sport
RIPGillesLatulippe,4,Culture
Outremont,4,Politique
ouffff,4,Humeur
onjasela,4,Humeur
MontrealIsBack,4,Sport
jevoismtl,4,Politique
Haiti,4,Politique
Habs,4,Sport
FocusMontreal,4,Sport
CityLab2014,4,Politique
CharlieHebdo,4,Cause
CaraBangBang,4,Sport
CANvsSWE,4,Sport
ButePascal,4,Sport
Budget2015,4,Politique
AllezLesBleus,4,Sport
wakeup,3,Sport
Tintoé,3,Humeur
Tesla,3,Politique
SNLQC,3,Culture
RIPNelsonMandela,3,Politique
PontChamplain,3,Politique
PCM2,3,Politique
NuitblancheMtl,3,Culture
NeverSurrender,3,Humeur
Jutra2014,3,Culture
JPR14,3,Culture
HaïtiMTL,3,Politique
GoCarabinsGo,3,Sport
EteIndien,3,Culture
emu,3,Humeur
zzzz,2,Humeur
yeah,2,Humeur
YankeeStadium,2,Sport
Wimbledon,2,Sport
VireTaChaiseDeBord,2,Culture
VigieHDV,2,Cause
UMQ,2,Politique
TunnelViger,2,Politique
TousEnChoeur,2,Culture
SOH2014,2,Politique
SoccerDad,2,Sport
SiliconValley,2,Politique
ShanaTova,2,Politique
SFGiants,2,Sport
Salvail,2,Culture
RIPRobinWilliams,2,Culture
RIPJoeCocker,2,Culture
Quebec,2,Politique
poudoumpishhhh,2,Humeur
poppyproud,2,Politique
picsdelahonte,2,Politique
PersévéranceScolaire,2,Politique
OSMParcs,2,Culture
Osheaga2014,2,Culture
OnSeCalme,2,Humeur
OhYeah,2,Humeur
oes27,2,Cause
NoPainNoGain,2,Sport
MontréalVilleDeHockey,2,Sport
Moncton,2,Politique
MissionNY,2,Politique
MGM,2,politique
LetsGoGiants,2,Sport
LeSansVisage,2,Culture
LaVénusAuVison,2,Culture
JQMM,2,Politique
JPS2015,2,Cause
JFL14,2,Culture
infoneigemtl,2,Politique
honoré,2,Humeur
histoire,2,Politique
guignoleedrjulien,2,Cause
GuignoleeDrJulien,2,Cause
GrandPrixCyclisteMtl,2,Sport
goodjob,2,Humeur
fm985,2,Politique
FIJM2014,2,Culture
ExposNation,2,Sport
DonRickles,2,Culture
DDay70,2,Cause
ConfMTL,2,Politique
Check,2,Humeur
Cannes2014,2,Culture
BonneAnnée,2,Humeur
bocuse2015,2,Culture
Bixi,2,Politique
Bienvenue,2,Humeur
azur,2,Politique
asuivre,2,Humeur
assnat,2,Politique
AmericanTop40,2,Culture
ZithoYeLada,1,Politique
YQuelleHeureHeure,1,Humeur
YMCA,1,Politique
yesssFlowerPower,1,Sport
WozCCCM,1,Sport
woohoo,1,Humeur
windBeneathMyWings,1,Culture
welcomeTweet,1,Humeur
WeAreWinter,1,Humeur
WCJ2015,1,Sport
vsmpe,1,Politique
Vintage,1,Culture
villes,1,Politique
velosouszero,1,Politique
velo,1,Politique
USAvsRUS,1,Sport
UNSG,1,Politique
UniformeIntégral,1,Politique
UneVraieBattante,1,Cause
unbelievable,1,Humeur
tweetprédiction,1,Sport
TweetJetSet,1,Humeur
tweetgerantdestrade,1,sport
TweetDansLesCoulisses,1,Politique
tweetcoach,1,Sport
tweetCirculation,1,Politique
tweetaide,1,Cause
TSN,1,Sport
troisrivieres,1,Politique
transactions2014,1,Sport
TournéeCMMHélico,1,Politique
TournoidesCoeursScotties,1,Sport
TjrSolidaire,1,Politique
TJ18h,1,Politique
TheEmmys,1,Culture
Tetris,1,
TeamSweden,1,Sport
TBT,1,Politique
taxi,1,Politique
TakeMeOutToTheBallGame,1,Sport
TableMtlQc,1,Politique
SériesLNH,1,Sport
Syria,1,Politique
SuperBowl2014,1,Sport
Summertime,1,Humeur
succès,1,Humeur
StLeonardChronicles,1,Culture
startupopenhouse,1,Politique
Startup,1,Politique
SoyezGénéreux,1,Cause
SouvenirMtlNord,1,Humeur
soutienRC,1,Cause
SoulMan,1,Culture
SommetBusineasEuropéen,1,Politique
solidsolid,1,Politique
solidarityToronto,1,Politique
SNLQuebec,1,Culture
Sharp,1,Sport
SFvsWAS,1,Sport
scusezlà,1,Humeur
SB49,1,Sport
SauvonsRadioCanada,1,Cause
SansCommentaire,1,Humeur
SalutSergeRIP,1,Politique
RégimeRetraite,1,Politique
rosepatrie,1,Politique
Rodgers,1,Sport
RIPYvan,1,Politique
RIPPaulWalker,1,Culture
RIPNancy,1,Politique
RIPMarkDunn,1,Culture
RIPMadDog,1,Sport
RIPJeanGaron,1,Politique
RIPJC,1,Culture
RIPJacquesProulx,1,Culture
retrouvailles,1,Politique
retraite,1,Politique
restonscalme,1,Humeur
RenMainMounKiRenMainW,1,Politique
Refuge,1,Cause
RealMenDontBuyGirls,1,Politique
RDSCH,1,Sport
RDS,1,Sport
Rays,1,Sport
RamenezNosAmours,1,Sport
QuébecCinéma,1,Culture
QuelSpectacle,1,Culture
QuelPanache,1,Sport
QuelleVoixWow,1,Culture
queljoueur,1,Sport
qc2014,1,Politique
qbpoli,1,Politique
prévention,1,Politique
proudhabs,1,Sport
PrixJackGraney2013,1,Politique
PrixDExcellenceTennisQuebec,1,Sport
priorité,1,Politique
PriceVsSWE,1,Sport
PourUnQuébecÉquitable,1,Politique
PourquoiLeDevoir,1,Cause
polmun,1,Politique
politique,1,Politique
pointu,1,Sport
PMAD,1,Politique
PlayBall,1,Sport
PL3,1,Politique
pipelinesMtl,1,Politique
PickUpLineAcadienne,1,
PatriotsNation,1,Sport
pasquestion,1,Humeur
pasgame,1,Humeur
pasdebonsens,1,Humeur
PascalBute,1,Sport
ParQuatreChemins,1,Culture
Paris,1,Politique
PaloAlto,1,Politique
out,1,Humeur
ouch,1,Humeur
Ottawa,1,Politique
Oscars2015,1,Culture
oscars,1,Culture
oooohyeah,1,Humeur
onrc,1,Sport
ONPC,1,Culture
Onjasepu,1,Humeur
OnEstDu,1,Humeur
OkOnFermeLesLivres,1,Sport
OhayoGozaimasu,1,Politique
Ogilvy,1,Politique
Offensivediabete,1,Cause
OctoberTogether,1,Sport
NYC,1,Politique
now,1,Humeur
not,1,Humeur
noooon,1,Humeur
NLDSonFS1,1,Sport
nice,1,Humeur
NHL,1,Sport
NewYorkHighLine,1,Politique
NBAsansFrontière,1,Sport
NBA,1,Sport
MédiasFranco,1,Politique
murale,1,Culture
mun2013,1,Politique
MtlMétropoleCulturelle,1,Politique
mtljeunes,1,Politique
mtlbeluga,1,Politique
MPJ,1,Politique
moveon,1,Politique
MontréalMétropoleInternationale,1,Politique
MontréalMétropoleCulturelle,1,Culture
MontréalMagnifique,1,Culture
MontréalDC,1,Politique
MonNomEstCoderreDenisCoderre,1,Humeur
MonFilsTresHeureux,1,Humeur
MonctonShooting,1,Politique
Mommy,1,Culture
moissonmtl,1,Cause
Moisson,1,Cause
MobilitéMtl,1,Politique
MLS,1,Sport
MLB2015,1,Sport
missionMtl,1,Politique
MissionLA,1,Politique
MissionAccomplie,1,politique
mieuxvauttardquejamais,1,Sport
MichelTherrien,1,Sport
MesSympathies,1,Humeur
MerryChristmas,1,Humeur
MerciTVA,1,Politique
MerciRégis,1,Politique
MerciLesGars,1,Sport
MerciDGCaillard,1,Culture
MAXpacioretty,1,Sport
Mauricie,1,Politique
mauditCancer,1,Cause
ManquezPasÇa,1,Humeur
MaisonSaintGabriel,1,Sport
MaisonRedpath,1,Politique
Maedo,1,Politique
MadBum,1,Sport
Lévis,1,Politique
Loi3,1,Politique
LikeGoodOldDays,1,Humeur
lesoleil,1,Politique
LeSerpent,1,Culture
ledroit,1,Politique
JustForLaughs,1,Culture
JoyeuxNoël,1,Humeur
JoyeusesFetes,1,Humeur
jeter,1,Sport
JeFaisMtl,1,Politique
jeanmarcvallee,1,Culture
JeanBéliveau,1,Sport
JDQ2016,1,Sport
JackAdams,1,Sport
itinérance,1,Politique
isleverte,1,Politique
Inspirante,1,Sport
inquiet,1,Humeur
infinitîove,1,Culture
Infiniti,1,Politique
Indissociable,1,Politique
impressionnant,1,Humeur
ImLeavingYou,1,Culture
IlNeManqueQue2Buts,1,Sport
ILike,1,Humeur
idole,1,Politique
IciATCV,1,Politique
IBM,1,Politique
héros,1,Politique
HyperCacher,1,Cause
HommeDexception,1,Culture
HommageFredericBack,1,Culture
HOMA,1,Politique
HappyCaptain,1,Culture
HappyBirthday,1,Humeur
hahaha,1,Humeur
gâteau,1,Humeur
GREMM,1,Cause
GreatMtlAmbassador,1,Politique
GRCNB,1,Politique
GrandSuccès,1,Humeur
GPCQM,1,Politique
GOveloMTL,1,Sport
GoodOne,1,Humeur
good,1,Humeur
GoMtlGo,1,Sport
GillesLatilippe,1,Culture
GHG,1,Sport
ggm2014,1,Sport
gdpl2014,1,Politique
Gatineau,1,Politique
gatineau,1,Politique
game6herewecome,1,Sport
galajpr14,1,Culture
FêteduTêtVietnamien,1,Culture
Fêtedesneiges,1,Culture
FélicitationsXavier,1,Culture
francstireurs,1,Politique
FQM,1,Politique
fouduhockey,1,Sport
ForumQc,1,Politique
FootballUniversitaire,1,Sport
FoodForThought,1,Culture
flattéquandmême,1,Humeur
FievreDesSeries,1,Sport
FeteNationaleGrece,1,Politique
FelipeAlou,1,Sport
FedCup,1,Sport
FDN2015,1,Culture
FCM,1,Politique
FantasiaFest,1,Culture
FanPicolo,1,Culture
FanOSM,1,Culture
FaitesDuBruiiiiiit,1,Humeur
Exquis,1,Humeur
Expos94,1,Sport
Expos,1,Sport
excusezLà,1,Humeur
equité,1,Politique
equipedeniscoderre,1,Politique
equipeCanada,1,Sport
Epharisto,1,Politique
EnModeSalvail,1,Culture
Enfiiiiiin,1,Humeur
Enbridge,1,Politique
dévouement,1,Humeur
DéfiSportif,1,Sport
DéfiSanté,1,Politique
DutyOfMemory,1,Politique
DomoArigato,1,Politique
DGQNY,1,Politique
DetouràJoliette,1,Politique
desolé,1,Humeur
designers,1,Culture
DerekJeter,1,Sport
Democracy,1,Politique
defisportif,1,Sport
defisante530,1,Politique
Defense,1,Sport
Deal,1,Humeur
DallasBuyersClub,1,Culture
curlingmasculin,1,Sport
CPTT,1,Politique
coursealavieCIBC,1,Cause
courage,1,Humeur
ConcertDignité,1,Culture
CNN10,1,Politique
citexplore,1,Politique
CISfball,1,Sport
chuuuuuut,1,Humeur
Chicago,1,Politique
Chapeau,1,Humeur
Champlain,1,Politique
CH,1,Sport
cdnpoli,1,Politique
CBCOlympics,1,Sport
cbcmtl,1,Politique
CaseyKasem,1,Culture
CaSentLaCoupe,1,Sport
Canadiens,1,Sport
canada,1,Politique
C2Mtl,1,Politique
byebye2013,1,Culture
Buissonneau,1,Culture
Bruxelles,1,Politique
BroadwayàMtl,1,Culture
BringBackOurGirls,1,Cause
Boston,1,Politique
BonneFête,1,Humeur
BonneFinDeSoirée,1,Humeur
BonneChance,1,Humeur
BellLetsTalk,1,Cause
Beliveau,1,Sport
BeauTravail,1,Humeur
BCvsMTL,1,Sport
baseball,1,Sport
AutorouteVilleMarie,1,Politique
Attenborough,1,Culture
ArethaFranklin,1,Culture
architectes,1,Politique
Antichambre,1,Sport
anniehamel,1,Cause
amitiés,1,Humeur
Amaluna,1,Culture
Alzheimer,1,Cause
ALSIceBucketChallenge,1,Cause
AllezVoter,1,Politique
adisq,1,Culture
AccordsBistro,1,Culture
académie,1,Politique
3sdl,1,Sport
22CâlinedeBlues,1,Culture
1goalie,1,Sport
185bravos,1,Culture
12YearsASlave,1,Culture
100eAnniversaire,1,Politique
1000km2014,1,Politique
,1782,
